Customer_ID,Age,Gender,Annual_Income,Education,Location_Type,Account_Age_Days,Membership_Type,Payment_Method,Total_Purchases,Total_Amount_Spent,Avg_Order_Value,Days_Since_Last_Purchase,Purchase_Frequency,Visits_Per_Month,Time_Per_Visit_Minutes,Product_Views_Per_Visit,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Contacts,Satisfaction_Score,NPS,Referrals,Loyalty_Points,Complaints,Favorite_Category,Num_Categories_Shopped,Discount_Usage_Rate,Returns_Rate,Churn_Risk_Score,Churned
CUST0020,18,Female,20000,Bachelor,Suburban,495,Premium,Debit Card,35,8950.39,255.73,72,2.12,12.6,6.4,12,47.8,49.2,1,4.2,-41.0,1,1097,0,Beauty,2,25.5,50.0,63.0,1
CUST0021,61,Female,95947,High School,Suburban,47,Basic,Credit Card,5,816.0,163.2,70,3.19,7.3,14.7,6,17.7,63.1,1,6.3,19.0,0,301,1,Home & Garden,5,60.8,23.4,47.4,0
CUST0022,36,Female,63821,Bachelor,Suburban,532,Basic,Debit Card,19,2285.27,120.28,64,1.07,7.4,1.4,8,65.4,14.0,3,5.7,,0,191,1,Books,1,56.0,20.4,59.8,1
CUST0023,41,Male,40622,High School,Rural,128,Premium,Debit Card,23,4038.97,175.61,19,5.39,34.6,7.1,4,43.2,20.7,1,8.1,80.0,1,0,0,Beauty,4,40.9,15.7,62.1,1
CUST0024,18,Male,36136,Bachelor,Rural,407,VIP,PayPal,35,2748.43,78.53,27,2.58,16.1,9.0,10,57.9,45.2,1,9.8,100.0,2,997,0,Books,2,24.6,18.1,73.4,0
CUST0025,31,Male,40294,Bachelor,Suburban,166,Basic,PayPal,0,0.0,0.0,40,0.0,6.4,7.6,8,72.9,8.4,3,3.6,-21.0,1,0,2,Sports,1,47.2,9.9,45.5,0
CUST0026,41,Male,66542,Master,Urban,2000,Basic,Debit Card,64,9717.5,151.84,164,0.96,7.5,11.9,12,73.4,13.0,0,8.5,67.0,2,0,1,Home & Garden,1,42.9,23.4,35.7,0
CUST0027,22,Female,54893,High School,Rural,122,Basic,Credit Card,0,0.0,0.0,17,0.0,26.3,1.9,9,57.1,,1,6.2,33.0,4,10,1,Home & Garden,2,48.8,29.4,48.6,0
CUST0028,45,Male,83953,Bachelor,Urban,130,Premium,PayPal,1,103.79,103.79,115,0.23,12.7,1.0,4,16.2,40.2,0,6.8,22.0,1,0,1,Beauty,1,19.1,10.5,51.7,1
CUST0029,30,Other,41722,Bachelor,Urban,1067,Basic,Debit Card,30,4276.05,142.53,14,0.84,17.5,11.4,7,54.0,40.0,4,7.9,61.0,1,1356,0,Sports,2,43.5,28.3,47.2,0
CUST0030,35,Male,41132,Bachelor,Rural,30,Basic,PayPal,0,0.0,0.0,203,0.0,6.2,3.7,6,8.9,53.5,0,7.1,39.0,1,244,1,Home & Garden,2,80.8,20.1,38.8,0
CUST0031,30,Male,20000,Bachelor,Urban,477,Premium,Bank Transfer,27,1688.47,62.54,49,1.7,5.7,4.7,10,39.3,47.3,0,8.4,89.0,3,16,0,Sports,2,11.4,21.6,76.7,1
CUST0032,67,Female,87873,Bachelor,Urban,516,Premium,Credit Card,36,5067.15,140.75,28,2.09,22.2,5.2,10,50.1,38.6,2,7.4,6.0,0,408,1,Clothing,1,17.2,31.7,74.5,1
CUST0033,39,Female,57973,Master,Urban,724,Basic,PayPal,21,1886.93,89.85,42,0.87,7.9,5.5,13,66.0,40.8,2,6.7,33.0,4,84,0,Beauty,3,54.7,34.9,44.0,0
CUST0034,24,Female,20000,Master,Rural,1466,Basic,Credit Card,47,3899.12,82.96,14,0.96,7.8,9.6,11,65.6,39.9,3,5.3,10.0,0,1498,0,Sports,3,39.4,18.3,43.2,0
CUST0035,52,Female,78541,Bachelor,Suburban,1485,Premium,Credit Card,103,7951.59,77.2,14,2.08,5.9,6.9,16,31.3,61.5,2,10.0,72.0,3,1132,0,Books,6,41.0,11.2,42.6,1
CUST0036,21,Female,29893,Bachelor,Suburban,30,Basic,Debit Card,0,0.0,0.0,5,0.0,17.1,1.4,6,14.1,42.0,1,6.4,40.0,3,0,1,Electronics,1,29.1,19.9,49.3,0
CUST0037,43,Male,64087,Master,Urban,690,Basic,Credit Card,21,896.69,42.7,5,0.91,9.6,4.7,9,43.5,30.0,4,6.2,22.0,0,0,2,Clothing,4,17.3,12.0,54.1,1
CUST0038,18,Other,20000,PhD,Suburban,415,VIP,PayPal,43,2576.11,59.91,19,3.11,3.2,6.3,16,59.2,68.5,3,6.7,21.0,1,245,0,Beauty,1,36.6,21.0,77.4,1
CUST0039,20,Other,29280,Master,Suburban,416,Basic,Credit Card,4,122.64,30.66,64,0.29,5.4,7.4,9,19.6,,2,2.9,-26.0,1,0,0,Beauty,1,40.2,9.7,39.6,0
CUST0040,42,Female,72539,Bachelor,Urban,54,Premium,Credit Card,0,0.0,0.0,42,0.0,19.5,4.4,7,52.4,52.7,4,3.4,-42.0,0,0,1,Beauty,3,50.6,28.6,68.9,1
CUST0041,51,Male,62784,High School,Urban,420,VIP,Debit Card,43,3753.04,87.28,4,3.07,9.8,3.2,3,13.1,37.3,0,8.0,73.0,1,673,2,Books,2,41.4,2.9,62.6,1
CUST0042,42,Female,87074,Bachelor,Urban,1617,Basic,PayPal,56,1097.41,19.6,86,1.04,17.2,10.0,3,71.8,29.2,1,6.3,30.0,0,0,0,Clothing,2,71.2,38.1,41.0,0
CUST0043,38,Male,58031,Bachelor,Rural,971,Basic,Bank Transfer,42,1973.92,47.0,41,1.3,11.2,3.6,6,60.5,53.0,4,6.4,23.0,0,821,0,Books,1,23.3,13.0,52.1,1
CUST0044,35,Male,54783,Bachelor,Suburban,231,Premium,PayPal,16,1436.38,89.77,145,2.08,3.6,8.0,4,48.8,36.7,4,4.0,-36.0,0,147,1,Home & Garden,3,21.7,18.1,91.0,1
CUST0045,18,Male,33333,Bachelor,Rural,30,VIP,Debit Card,7,719.95,102.85,49,7.0,12.1,9.5,15,48.2,49.9,1,6.7,23.0,1,0,0,Sports,2,24.2,15.0,90.7,1
CUST0046,29,Male,47438,Master,Urban,179,VIP,Credit Card,16,3161.34,197.58,8,2.68,8.1,6.0,11,32.2,45.1,1,4.3,-2.0,2,0,1,Books,1,71.1,16.8,60.6,1
CUST0047,33,Female,65357,Bachelor,Suburban,700,Premium,Credit Card,48,5363.11,111.73,28,2.06,5.5,2.8,9,94.1,36.4,3,7.7,72.0,3,1147,0,Books,5,58.5,9.3,58.4,1
CUST0048,55,Female,88807,Master,Suburban,483,Basic,Credit Card,24,1718.2,71.59,47,1.49,5.9,7.0,5,71.9,32.1,3,6.7,44.0,0,318,0,Home & Garden,2,54.0,3.8,50.9,0
CUST0049,45,Female,61313,Bachelor,Suburban,245,Premium,Debit Card,5,429.5,85.9,1,0.61,16.9,4.0,13,44.6,41.3,2,6.8,36.0,3,0,0,Electronics,2,59.7,24.5,40.2,0
CUST0050,18,Male,28133,Bachelor,Rural,30,Basic,Debit Card,3,262.95,87.65,0,3.0,10.1,20.9,8,44.5,34.1,1,6.4,39.0,3,0,0,Electronics,3,42.7,5.7,51.0,1
CUST0051,44,Male,51834,Bachelor,Urban,222,Basic,Debit Card,18,1079.47,59.97,6,2.43,9.5,9.1,4,53.1,29.3,2,5.3,11.0,0,907,0,Sports,2,37.6,11.6,41.3,0
CUST0052,34,Male,54418,Master,Urban,253,Basic,PayPal,9,828.3,92.03,13,1.07,23.7,8.9,10,58.2,34.3,4,7.5,42.0,1,0,0,Home & Garden,2,44.1,44.0,49.5,0
CUST0053,29,Other,43442,High School,Suburban,1055,Basic,Debit Card,43,2500.44,58.15,25,1.22,4.8,11.1,11,75.8,22.3,2,9.4,73.0,2,65,1,Clothing,5,37.1,12.4,29.7,0
CUST0054,49,Male,73218,High School,Suburban,409,Premium,Credit Card,24,2273.44,94.73,30,1.76,7.8,1.0,6,51.4,25.0,2,6.4,23.0,0,512,0,Books,2,25.4,3.5,50.4,1
CUST0055,55,Female,82572,PhD,Suburban,149,Basic,Credit Card,4,308.61,77.15,6,0.81,5.1,4.7,11,36.4,27.1,3,4.7,-15.0,0,756,0,Sports,3,60.0,9.4,34.8,0
CUST0056,53,Female,53632,High School,Urban,298,Basic,PayPal,10,696.57,69.66,50,1.01,11.9,10.7,7,51.2,,2,3.6,-26.0,0,0,1,Electronics,1,35.6,21.5,49.3,0
CUST0057,27,Male,32029,Bachelor,Suburban,30,Basic,PayPal,0,0.0,0.0,40,0.0,9.7,3.2,4,43.7,31.4,4,5.3,31.0,1,0,1,Clothing,1,49.6,1.0,44.3,0
CUST0058,35,Female,55893,Bachelor,Urban,1438,VIP,PayPal,137,16755.39,122.3,15,2.86,6.3,1.1,5,6.6,50.5,7,5.2,9.0,0,1622,0,Beauty,1,29.5,22.9,86.5,1
CUST0059,44,Female,71388,Bachelor,Urban,178,Premium,Credit Card,6,694.5,115.75,0,1.01,7.0,5.6,6,56.7,16.9,2,5.4,30.0,0,521,0,Home & Garden,3,45.5,2.7,43.1,0
CUST0060,54,Female,67775,Bachelor,Suburban,259,Basic,Bank Transfer,12,809.72,67.48,3,1.39,15.8,2.3,6,10.3,23.7,1,8.2,64.0,2,645,1,Beauty,2,54.1,11.6,43.8,0
CUST0061,32,Female,68296,High School,Suburban,175,Basic,Credit Card,10,1196.5,119.65,22,1.71,18.6,2.6,9,63.0,34.6,2,4.8,-7.0,0,0,1,Books,2,53.2,12.0,40.3,0
CUST0062,37,Male,44867,Bachelor,Urban,458,Basic,Credit Card,16,1219.96,76.25,7,1.05,5.3,4.4,8,69.8,34.2,1,9.7,71.0,4,179,1,Beauty,3,35.0,31.8,27.2,0
CUST0063,23,Male,47202,Bachelor,Urban,434,VIP,Bank Transfer,47,3617.04,76.96,21,3.25,39.5,1.7,7,4.9,28.5,3,4.9,8.0,0,0,0,Beauty,3,23.4,4.8,62.9,1
CUST0064,22,Female,37118,Bachelor,Urban,502,Premium,Credit Card,32,1920.11,60.0,44,1.91,2.5,4.2,8,25.8,57.0,2,3.6,-38.0,0,634,0,Books,3,25.2,31.4,57.3,1
CUST0065,52,Female,70817,High School,Urban,124,Premium,Debit Card,14,2606.31,186.16,35,3.39,3.4,6.1,10,52.8,28.6,1,5.8,3.0,0,471,1,Electronics,2,62.5,10.5,51.2,1
CUST0066,60,Male,117380,Bachelor,Suburban,151,Premium,Credit Card,10,1753.89,175.39,11,1.99,6.7,17.9,9,37.8,54.2,2,6.7,20.0,0,0,0,Beauty,2,34.5,12.4,34.7,1
CUST0067,38,Female,41605,High School,Rural,53,Basic,Debit Card,2,104.34,52.17,18,1.13,4.5,3.4,7,18.0,26.6,4,5.2,10.0,0,777,0,Electronics,4,33.0,19.2,31.6,0
CUST0068,55,Female,98287,High School,Urban,426,Premium,Bank Transfer,27,1756.1,65.04,42,1.9,4.1,4.5,9,36.8,45.3,5,5.3,-2.0,0,343,0,Sports,3,33.3,15.1,61.4,1
CUST0069,45,Female,85509,High School,Suburban,30,Premium,Credit Card,5,494.88,98.98,88,5.0,18.3,7.7,16,76.3,59.0,5,4.2,8.0,1,162,0,Beauty,2,46.3,17.7,87.0,1
CUST0070,30,Male,35691,High School,Rural,364,Basic,Debit Card,10,1095.57,109.56,62,0.82,12.2,3.8,5,64.9,38.2,2,5.4,26.0,0,20,0,Beauty,3,37.9,7.9,27.0,0
CUST0071,45,Female,91387,Master,Suburban,815,Basic,Credit Card,32,1289.93,40.31,36,1.18,8.9,3.0,7,56.7,42.6,0,5.8,8.0,1,124,2,Books,2,63.0,19.8,44.1,0
CUST0072,63,Female,90509,High School,Urban,885,Premium,Debit Card,53,2384.76,45.0,20,1.8,5.5,10.8,12,57.4,28.7,3,6.8,-1.0,0,47,0,Books,1,71.2,3.3,38.9,0
CUST0073,39,Male,65470,Master,Rural,238,VIP,Credit Card,18,105.35,5.85,20,2.27,3.6,14.1,8,43.0,60.4,2,7.9,61.0,1,0,0,Beauty,2,35.6,10.1,44.0,0
CUST0074,63,Male,98165,PhD,Urban,245,Basic,Credit Card,11,1207.3,109.75,95,1.35,3.4,3.8,8,35.8,56.4,5,4.7,-10.0,0,735,0,Beauty,3,46.7,37.7,68.5,1
CUST0075,18,Other,20695,Bachelor,Urban,32,VIP,Credit Card,2,57.49,28.74,1,1.88,18.2,2.9,8,85.5,53.8,1,5.4,21.0,1,0,1,Books,3,29.5,11.6,66.7,1
CUST0076,52,Male,92672,High School,Urban,444,Premium,Credit Card,27,1416.46,52.46,198,1.82,17.7,2.6,15,76.6,38.2,4,5.8,15.0,0,0,1,Books,1,31.7,2.8,97.4,1
CUST0077,41,Female,76242,Bachelor,Suburban,688,Basic,Bank Transfer,27,3509.25,129.97,49,1.18,6.8,7.9,7,44.4,28.0,3,8.2,82.0,0,286,0,Clothing,5,10.9,15.7,41.3,1
CUST0078,35,Female,28272,Master,Urban,112,Basic,Credit Card,0,0.0,0.0,51,0.0,2.3,11.9,7,61.0,24.5,2,5.7,,0,712,1,Home & Garden,2,7.6,18.6,51.3,0
CUST0079,41,Male,83905,Bachelor,Urban,218,Basic,Credit Card,6,1083.19,180.53,1,0.83,12.9,6.7,7,64.6,15.3,4,3.3,-54.0,0,673,0,Clothing,4,31.8,7.1,49.2,0
CUST0080,18,Female,20000,High School,Urban,730,Premium,Debit Card,55,11774.9,214.09,41,2.26,6.9,8.1,6,38.2,14.6,1,7.9,47.0,2,980,0,Beauty,2,24.7,31.8,66.2,0
CUST0081,36,Male,71678,Bachelor,Suburban,838,Basic,Credit Card,35,10970.67,313.45,29,1.25,16.2,10.2,7,59.5,51.6,4,6.6,25.0,0,1710,0,Home & Garden,5,22.6,17.6,63.8,1
CUST0082,45,Female,87401,Master,Rural,111,Basic,PayPal,11,702.59,63.87,5,2.97,3.4,14.4,8,63.0,34.9,3,7.0,38.0,0,124,0,Clothing,4,26.7,3.4,46.4,0
CUST0083,62,Male,76746,Master,Urban,319,Premium,Bank Transfer,19,1040.04,54.74,14,1.79,8.9,6.9,13,73.8,24.7,0,8.4,64.0,5,0,3,Sports,2,58.0,9.8,39.8,0
CUST0084,32,Female,43148,High School,Rural,85,Premium,Debit Card,11,1113.03,101.18,99,3.88,3.1,3.6,10,54.0,56.5,2,6.5,40.0,0,0,2,Home & Garden,5,27.3,34.9,57.1,1
CUST0085,27,Male,23674,Bachelor,Rural,42,Basic,PayPal,0,0.0,0.0,35,0.0,4.7,8.5,9,71.8,23.9,1,5.2,13.0,0,686,0,Books,3,18.9,44.2,32.8,0
CUST0086,32,Male,46086,High School,Suburban,968,Basic,Debit Card,27,1859.34,68.86,24,0.84,4.6,11.0,10,59.6,21.8,0,6.1,15.0,0,1227,1,Home & Garden,2,15.4,8.4,43.4,0
CUST0087,53,Other,77239,High School,Urban,687,Basic,Credit Card,11,958.53,87.14,3,0.48,6.8,4.1,7,23.3,38.1,3,5.2,14.0,2,255,0,Books,5,58.2,16.5,25.0,0
CUST0088,44,Male,80685,Master,Suburban,570,Premium,Debit Card,46,4858.27,105.61,56,2.42,19.3,1.0,5,54.7,44.9,2,7.8,39.0,2,202,0,Sports,2,19.0,19.7,61.1,1
CUST0089,32,Female,68965,High School,Rural,30,Premium,Debit Card,0,0.0,0.0,54,0.0,9.2,3.6,11,54.3,41.2,1,5.5,21.0,0,0,1,Beauty,2,23.2,30.6,49.3,0
CUST0090,47,Male,94395,High School,Suburban,742,Basic,Debit Card,24,1621.67,67.57,42,0.97,14.4,1.7,11,45.2,44.9,1,6.2,38.0,3,0,0,Home & Garden,4,41.4,9.8,41.5,0
CUST0091,41,Female,55907,High School,Urban,230,Premium,PayPal,10,345.99,34.6,32,1.3,8.8,3.7,12,18.3,40.5,3,4.4,-8.0,0,0,1,Electronics,3,18.5,5.7,53.0,1
CUST0092,54,Male,80052,Master,Suburban,167,Premium,Debit Card,14,559.14,39.94,25,2.51,6.1,4.7,7,80.2,33.0,1,9.1,90.0,0,0,2,Books,2,15.6,15.4,30.1,0
CUST0093,29,Other,20000,Master,Suburban,316,Premium,Bank Transfer,19,336.48,17.71,40,1.8,1.1,7.2,7,38.8,33.1,2,6.0,31.0,5,0,0,Home & Garden,2,38.6,17.2,77.9,1
CUST0094,35,Male,42412,Bachelor,Suburban,38,Premium,PayPal,0,0.0,0.0,11,0.0,3.5,8.1,10,60.7,28.6,1,7.5,66.0,6,60,0,Clothing,1,42.0,9.0,45.9,0
CUST0095,34,Male,67263,Master,Urban,565,Basic,Debit Card,21,644.06,30.67,127,1.12,8.3,3.9,5,67.3,40.3,1,9.3,97.0,2,0,0,Home & Garden,2,27.4,20.2,44.0,0
CUST0096,18,Male,46944,High School,Urban,349,Basic,Debit Card,4,233.95,58.49,39,0.34,9.4,7.6,12,35.9,38.7,1,5.2,21.0,0,0,1,Books,1,18.7,24.8,39.3,0
CUST0097,44,Male,50475,Bachelor,Suburban,82,Premium,Credit Card,1,100.6,100.6,16,0.37,16.3,7.1,10,42.9,27.3,4,6.2,0.0,0,390,1,Electronics,1,45.4,11.4,41.8,0
CUST0098,43,Female,58573,Bachelor,Rural,83,Premium,Bank Transfer,0,0.0,0.0,26,0.0,1.8,7.1,15,52.9,30.9,1,6.4,29.0,0,0,0,Electronics,4,36.4,10.2,36.1,1
CUST0099,40,Male,62354,High School,Urban,81,Premium,Debit Card,0,0.0,0.0,73,0.0,30.8,2.7,8,67.5,23.9,1,8.6,71.0,3,0,3,Clothing,1,26.2,10.7,47.7,0
CUST0100,36,Female,60392,Bachelor,Rural,30,Basic,Credit Card,1,67.12,67.12,7,1.0,1.1,8.6,14,45.4,52.3,3,4.3,-11.0,0,0,1,Sports,2,22.5,19.7,46.7,0
CUST0101,18,Male,20000,Master,Urban,354,VIP,Credit Card,25,2439.06,97.56,15,2.12,7.9,5.8,16,15.5,37.2,3,6.3,40.0,1,1015,1,Electronics,2,36.5,7.1,64.4,0
CUST0102,33,Male,57421,High School,Suburban,733,Premium,Debit Card,41,4550.24,110.98,51,1.68,5.2,4.8,5,31.2,32.0,4,6.8,37.0,2,209,0,Beauty,5,43.7,11.3,51.4,1
CUST0103,34,Female,45682,High School,Suburban,30,Basic,Credit Card,0,0.0,0.0,17,0.0,3.6,2.9,12,23.2,18.0,2,5.0,1.0,0,298,0,Sports,2,40.7,24.0,30.2,0
CUST0104,27,Female,40043,High School,Suburban,30,Basic,Credit Card,0,0.0,0.0,70,0.0,22.8,3.8,11,44.5,26.2,0,6.7,41.0,1,0,0,Books,1,19.1,14.6,35.8,0
CUST0105,37,Male,66054,High School,Rural,340,Premium,Debit Card,32,2153.13,67.29,6,2.82,5.4,9.5,9,69.6,38.2,2,6.4,6.0,0,390,0,Home & Garden,1,59.4,8.8,65.9,0
CUST0106,46,Male,72086,Master,Urban,684,Premium,Credit Card,54,3219.83,59.63,64,2.37,1.6,7.5,3,26.7,27.8,2,8.7,98.0,1,595,0,Sports,3,29.0,12.7,67.2,1
CUST0107,68,Male,93164,Bachelor,Rural,158,Basic,Debit Card,0,0.0,0.0,3,0.0,2.7,3.1,15,57.3,54.0,0,10.0,,2,542,1,Beauty,1,53.7,9.1,35.3,0
CUST0108,42,Female,64266,Bachelor,Urban,172,VIP,Credit Card,19,1998.21,105.17,0,3.31,17.6,5.6,3,70.2,23.1,1,9.2,100.0,0,7,0,Books,5,16.1,16.0,47.3,0
CUST0109,43,Female,66135,Master,Suburban,362,Basic,Credit Card,15,2443.72,162.91,102,1.24,2.8,7.3,6,42.4,40.4,2,8.5,56.0,2,0,1,Books,3,14.2,10.2,34.3,0
CUST0110,38,Male,53960,High School,Suburban,128,Basic,Debit Card,1,152.18,152.18,39,0.23,2.2,3.3,5,41.3,20.3,1,1.0,-94.0,0,0,1,Books,2,15.3,30.8,44.6,0
CUST0111,18,Female,20000,Bachelor,Suburban,30,VIP,Debit Card,0,0.0,0.0,19,0.0,9.6,8.5,14,66.7,15.7,1,6.7,31.0,5,482,0,Beauty,3,33.8,19.3,45.8,0
CUST0112,39,Female,85120,Bachelor,Urban,531,VIP,Credit Card,53,8545.52,161.24,11,2.99,6.7,1.0,9,40.3,71.9,4,6.2,24.0,1,1895,0,Clothing,1,46.9,33.9,76.6,1
CUST0113,40,Female,71164,Bachelor,Rural,393,Premium,Credit Card,25,1082.76,43.31,43,1.91,11.6,8.5,17,86.9,48.6,2,7.7,46.0,3,525,3,Beauty,2,33.9,1.4,79.6,1
CUST0114,76,Female,102958,PhD,Urban,347,VIP,Debit Card,32,2789.09,87.16,32,2.77,6.1,8.1,8,67.4,72.7,3,4.0,-32.0,0,0,2,Clothing,1,57.7,10.1,87.6,1
CUST0115,37,Male,68314,Master,Urban,541,Basic,Credit Card,20,1927.49,96.37,215,1.11,13.8,6.2,4,85.1,39.0,2,7.5,55.0,2,593,2,Sports,4,54.2,22.8,74.6,1
CUST0116,44,Male,63983,Bachelor,Suburban,449,VIP,Credit Card,41,1110.43,27.08,183,2.74,2.4,4.3,13,52.7,60.2,1,4.2,6.0,0,0,0,Books,2,64.7,9.8,80.1,1
CUST0117,39,Male,78737,Master,Suburban,92,Basic,Credit Card,0,0.0,0.0,45,0.0,2.0,2.4,13,43.4,54.1,1,8.0,86.0,1,0,1,Sports,4,79.5,8.3,35.4,0
CUST0118,22,Male,36255,High School,Suburban,173,Basic,PayPal,6,1001.08,166.85,26,1.04,10.2,5.2,9,47.9,55.4,5,2.1,-61.0,1,193,1,Electronics,5,25.2,23.1,77.2,1
CUST0119,57,Female,85450,High School,Urban,53,Basic,PayPal,3,39.31,13.1,30,1.7,6.7,7.0,6,43.3,50.9,1,8.4,52.0,1,181,0,Sports,3,48.4,35.4,27.5,0
CUST0120,51,Female,85856,High School,Urban,55,Basic,PayPal,0,0.0,0.0,51,0.0,5.8,8.6,6,60.6,46.2,1,8.3,61.0,0,32,0,Home & Garden,2,58.9,12.7,19.7,0
CUST0121,51,Male,55577,Bachelor,Suburban,451,Basic,PayPal,19,324.15,17.06,4,1.26,12.9,2.8,8,38.4,28.8,2,5.9,,3,0,1,Books,3,22.8,23.8,63.6,1
CUST0122,26,Male,21488,Bachelor,Suburban,782,Basic,Debit Card,17,1614.26,94.96,17,0.65,33.7,3.7,5,49.6,47.3,0,8.0,75.0,1,691,0,Sports,2,13.7,23.4,24.9,0
CUST0123,61,Male,74031,Bachelor,Urban,1315,Basic,Debit Card,40,1122.53,28.06,3,0.91,19.7,3.8,8,65.1,51.3,1,7.3,52.0,1,0,0,Clothing,3,37.9,32.7,49.6,0
CUST0124,18,Female,24854,Master,Suburban,395,Basic,Debit Card,11,1142.15,103.83,3,0.84,13.3,1.3,9,89.3,75.6,1,4.5,-17.0,1,741,2,Home & Garden,2,48.4,44.0,77.9,1
CUST0125,48,Male,100898,Bachelor,Suburban,81,Premium,Credit Card,2,296.88,148.44,9,0.74,5.6,11.4,13,57.5,48.2,2,6.9,51.0,1,0,1,Sports,1,40.0,13.0,42.8,0
CUST0126,72,Female,137180,Bachelor,Suburban,44,Basic,Debit Card,0,0.0,0.0,29,0.0,23.9,12.2,5,42.2,52.7,4,6.8,70.0,1,107,0,Sports,4,27.0,8.8,38.6,0
